quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005218;Науки;Кирпичные;1968;6;29.40000001;01.07.2024;5650000.0;192176.87
78:10:0005218;Науки;Кирпичные;1969;9;36.50000001;01.07.2024;7370000.0;201917.81
78:10:0005218;Карпинского;Кирпичные;1966;4;43.10000001;01.07.2024;6760000.0;156844.55
78:10:0005218;Карпинского;Кирпичные;1966;6;32.40000001;01.07.2024;5600000.0;172839.51
78:10:0005218;Верности;Кирпичные;1966;4;33.20000001;01.07.2024;5900000.0;177710.84
78:10:0005218;Карпинского;Кирпичные;1966;8;35.10000001;01.07.2024;6450000.0;183760.68
78:10:0005218;Карпинского;Кирпичные;1966;2;29.60000001;01.10.2024;5800000.0;195945.95
78:10:0005218;Науки;Кирпичные;1968;4;47.30000001;01.10.2024;7000000.0;147991.54
78:10:0005218;Верности;Кирпичные;1966;8;46.60000001;01.10.2024;7990000.0;171459.23
78:10:0005218;Науки;Кирпичные;1969;9;44.50000001;01.10.2024;8050000.0;180898.88
78:10:0005218;Науки;Кирпичные;1968;3;29.70000001;01.10.2024;4650000.0;156565.66
78:10:0005218;Верности;Кирпичные;1966;7;38.00000001;01.10.2024;7000000.0;184210.53
78:10:0005218;Верности;Кирпичные;1966;6;33.40000001;01.10.2024;5700000.0;170658.68
78:10:0005218;Верности;Кирпичные;1967;5;51.00000001;01.01.2025;11230000.0;220196.08
78:10:0005218;Науки;Кирпичные;1968;5;112.10000001;01.01.2025;13600000.0;121320.25
